,best,dlt,problem
363,54481.181572381785,1.00,50_2_3
364,54673.89895120451,1.00,50_2_3
365,55024.50798951213,1.00,50_2_3
366,56274.92331433577,1.00,50_2_3
367,55722.765345580076,1.00,50_2_3
368,55858.300824931284,1.00,50_2_3
369,56438.39514356859,1.00,50_2_3
370,65623.78748569087,1.00,50_2_4
371,66981.4375389383,1.00,50_2_4
372,67413.37101852012,1.00,50_2_4
373,65896.74095273053,1.00,50_2_4
374,65538.18401101032,1.00,50_2_4
375,65216.991114595905,1.00,50_2_4
376,62988.67536340753,1.00,50_2_4
377,66225.1959793281,1.00,50_2_4
378,64394.28080845674,1.00,50_2_4
379,62676.64347871792,1.00,50_2_4
380,70501.59256311695,1.00,80_1
381,77564.18604158895,1.00,80_1
382,75255.17679813704,1.00,80_1
383,76066.24384421814,1.00,80_1
384,77549.34776848278,1.00,80_1
385,74773.1360032997,1.00,80_1
386,72153.11417548772,1.00,80_1
387,77341.97066086224,1.00,80_1
388,70187.45948460382,1.00,80_1
389,70635.52108058262,1.00,80_1
390,80467.54767152162,1.00,80_2
391,81246.11834147,1.00,80_2
392,83002.44487420251,1.00,80_2
393,81447.31379464177,1.00,80_2
394,83499.34080258186,1.00,80_2
395,80539.02140655872,1.00,80_2
396,81185.196863801,1.00,80_2
397,84181.61841299623,1.00,80_2
398,80897.31557959519,1.00,80_2
399,81686.14665628207,1.00,80_2
400,77406.06860676172,1.00,80_3
401,78131.07803435437,1.00,80_3
402,79625.46759929508,1.00,80_3
403,74876.01641598955,1.00,80_3
404,74906.00115335223,1.00,80_3
405,79189.03726201932,1.00,80_3
406,74998.78491273004,1.00,80_3
407,78121.94577796364,1.00,80_3
408,78725.66832811217,1.00,80_3
409,78253.82438826222,1.00,80_3
410,87404.72881840481,1.00,80_4
411,86739.83234591794,1.00,80_4
412,88104.05108628851,1.00,80_4
413,87654.99514633835,1.00,80_4
414,88030.6544445715,1.00,80_4
415,88068.5321590406,1.00,80_4
416,89668.75963970755,1.00,80_4
417,87864.28994770788,1.00,80_4
418,87393.57693314308,1.00,80_4
419,88681.12124058779,1.00,80_4
420,107975.07316298464,1.00,100_1
421,107383.38838896406,1.00,100_1
422,106568.19153013326,1.00,100_1
423,108613.70093131869,1.00,100_1
424,108063.12490741847,1.00,100_1
425,107451.34798296244,1.00,100_1
426,107177.42110347556,1.00,100_1
427,106768.20302536608,1.00,100_1
428,107027.0390447958,1.00,100_1
429,106478.31615198439,1.00,100_1
430,92188.10866870073,1.00,100_2
431,91861.42495930976,1.00,100_2
432,93152.93709215595,1.00,100_2
433,92549.38068970446,1.00,100_2
434,93265.62937558605,1.00,100_2
435,100758.66900282173,1.00,100_2
436,91520.18656831767,1.00,100_2
437,91888.04810685923,1.00,100_2
438,92795.13346863989,1.00,100_2
439,93076.17999903392,1.00,100_2
440,94602.38605884771,1.00,100_3
441,86393.07447005407,1.00,100_3
442,91275.46494821332,1.00,100_3
443,91559.8913096266,1.00,100_3
444,91131.25307271081,1.00,100_3
445,97033.43526868646,1.00,100_3
446,90695.00503714314,1.00,100_3
447,94529.60220693011,1.00,100_3
448,88968.598957725,1.00,100_3
449,91732.42836157173,1.00,100_3
450,48767.646196952606,3.00,50_1_1
451,46429.849390545685,3.00,50_1_1
452,46796.27058247276,3.00,50_1_1
453,46481.08731312734,3.00,50_1_1
454,47171.2882068538,3.00,50_1_1
455,46986.680501161914,3.00,50_1_1
456,47054.10634739458,3.00,50_1_1
457,46883.042869862606,3.00,50_1_1
458,46027.85767704385,3.00,50_1_1
459,46907.06159989275,3.00,50_1_1
460,49599.30547449108,3.00,50_1_2
461,49561.114245729026,3.00,50_1_2
462,49992.585968652595,3.00,50_1_2
463,49540.5981796664,3.00,50_1_2
464,50073.062779609114,3.00,50_1_2
465,49191.215624387914,3.00,50_1_2
466,49502.8996445347,3.00,50_1_2
467,50436.20488354888,3.00,50_1_2
468,49816.993111100375,3.00,50_1_2
469,49779.81162789401,3.00,50_1_2
470,58528.924641529404,3.00,50_1_3
471,59541.67599600241,3.00,50_1_3
472,59980.846356896334,3.00,50_1_3
473,58173.611438460764,3.00,50_1_3
474,60071.26764536957,3.00,50_1_3
475,59541.67599600241,3.00,50_1_3
476,58714.96651372487,3.00,50_1_3
477,59541.67599600241,3.00,50_1_3
478,58173.611438460764,3.00,50_1_3
479,58714.96651372487,3.00,50_1_3
480,63825.736674743835,3.00,50_1_4
481,65944.6813578277,3.00,50_1_4
482,65017.139309450635,3.00,50_1_4
483,66473.29090609378,3.00,50_1_4
484,64999.15380032241,3.00,50_1_4
485,66334.45731483502,3.00,50_1_4
486,66879.00676697414,3.00,50_1_4
487,63429.09486073113,3.00,50_1_4
488,65984.16983532748,3.00,50_1_4
489,66323.84293626624,3.00,50_1_4
490,46328.22950490902,3.00,50_2_1
491,47600.133864171425,3.00,50_2_1
492,46611.1046795514,3.00,50_2_1
493,45806.93279866637,3.00,50_2_1
494,47212.04346621191,3.00,50_2_1
495,45824.652743361155,3.00,50_2_1
496,45680.54099962134,3.00,50_2_1
497,46065.0202090713,3.00,50_2_1
498,45857.90973630741,3.00,50_2_1
499,46045.407971976936,3.00,50_2_1
500,48156.73674208606,3.00,50_2_2
501,49499.39951459111,3.00,50_2_2
502,48780.80477162544,3.00,50_2_2
503,47778.31112997508,3.00,50_2_2
504,47416.23666547685,3.00,50_2_2
505,49427.852793632475,3.00,50_2_2
506,48168.86570730872,3.00,50_2_2
507,48770.310892450085,3.00,50_2_2
508,49720.37407460459,3.00,50_2_2
509,47783.98670736983,3.00,50_2_2
510,54481.181572381785,3.00,50_2_3
511,57218.39823965974,3.00,50_2_3
512,55134.598324088176,3.00,50_2_3
513,54481.181572381785,3.00,50_2_3
514,54765.546386148155,3.00,50_2_3
515,54765.546386148155,3.00,50_2_3
516,54481.181572381785,3.00,50_2_3
517,54740.14317574576,3.00,50_2_3
518,56714.049240356864,3.00,50_2_3
519,55536.85656910564,3.00,50_2_3
520,65268.8182350104,3.00,50_2_4
521,65299.90189852944,3.00,50_2_4
522,65735.64414321192,3.00,50_2_4
523,63418.87597948395,3.00,50_2_4
524,66137.26154073031,3.00,50_2_4
525,65849.39938274938,3.00,50_2_4
526,65963.23154484038,3.00,50_2_4
527,64495.577728766904,3.00,50_2_4
528,64294.02206050992,3.00,50_2_4
529,64104.47981664886,3.00,50_2_4
530,71341.87772601219,3.00,80_1
531,76187.39491093719,3.00,80_1
532,77921.93608886279,3.00,80_1
533,71947.8464178261,3.00,80_1
534,76256.42677124406,3.00,80_1
535,70544.27567393385,3.00,80_1
536,76009.66426447744,3.00,80_1
537,75045.3295902982,3.00,80_1
538,75651.59047729343,3.00,80_1
539,76087.7470375642,3.00,80_1
540,78835.60324631707,3.00,80_2
541,80375.70607424133,3.00,80_2
542,80688.6225254365,3.00,80_2
543,81459.25252334871,3.00,80_2
544,79613.09025657,3.00,80_2
545,82092.19016236554,3.00,80_2
546,82417.54967900127,3.00,80_2
547,80559.26032019698,3.00,80_2
548,81706.17291629213,3.00,80_2
549,80519.9949439435,3.00,80_2
550,75499.15696986693,3.00,80_3
551,80563.30296687264,3.00,80_3
552,77596.0102171943,3.00,80_3
553,75875.75344528524,3.00,80_3
554,76898.24461798139,3.00,80_3
555,82272.83377616027,3.00,80_3
556,79992.74483917991,3.00,80_3
557,75343.44673253727,3.00,80_3
558,79370.54892246274,3.00,80_3
559,73707.77374498892,3.00,80_3
560,87587.83345646496,3.00,80_4
561,86840.17285353072,3.00,80_4
562,87484.87906428188,3.00,80_4
563,86937.64094822935,3.00,80_4
564,86793.63624476857,3.00,80_4
565,87836.1311587771,3.00,80_4
566,86978.36655000507,3.00,80_4
567,87410.48278170066,3.00,80_4
568,90034.45272073732,3.00,80_4
569,87345.22134404647,3.00,80_4
570,107827.46156723598,3.00,100_1
571,107507.93435718563,3.00,100_1
572,106094.98820308437,3.00,100_1
573,107060.50141718416,3.00,100_1
574,107727.16866597344,3.00,100_1
575,108733.48725540192,3.00,100_1
576,106845.27542445001,3.00,100_1
577,106576.39544462712,3.00,100_1
578,106502.15899980407,3.00,100_1
579,108303.51854534115,3.00,100_1
580,92809.11615288648,3.00,100_2
581,99625.45194673035,3.00,100_2
582,92741.26553371259,3.00,100_2
583,92923.35990997919,3.00,100_2
584,90242.01225773343,3.00,100_2
585,89855.7599519475,3.00,100_2
586,103450.71129115284,3.00,100_2
587,94127.28929605967,3.00,100_2
588,101357.49606565273,3.00,100_2
589,102126.44293834054,3.00,100_2
590,91158.66559638151,3.00,100_3
591,99483.77719025465,3.00,100_3
592,90510.94130670754,3.00,100_3
593,91966.66397622942,3.00,100_3
594,92516.63643170964,3.00,100_3
595,92315.72379839975,3.00,100_3
596,91542.76430350207,3.00,100_3
597,91046.27078762304,3.00,100_3
598,99452.39891061187,3.00,100_3
599,89701.79242047778,3.00,100_3
600,46558.16009803737,5.00,50_1_1
601,47019.938918406726,5.00,50_1_1
602,47292.79981015714,5.00,50_1_1
603,47103.00991249009,5.00,50_1_1
604,46849.78972684426,5.00,50_1_1
605,47578.71110045178,5.00,50_1_1
606,47424.69429490637,5.00,50_1_1
607,47800.446439919055,5.00,50_1_1
608,46305.65639910211,5.00,50_1_1
609,47274.44533196356,5.00,50_1_1
610,50129.94202269003,5.00,50_1_2
611,49707.12499739545,5.00,50_1_2
612,49450.80044771518,5.00,50_1_2
613,49830.67666104832,5.00,50_1_2
614,50171.8764045156,5.00,50_1_2
615,49310.203317421234,5.00,50_1_2
616,49691.125785084005,5.00,50_1_2
617,50247.97874299958,5.00,50_1_2
618,49805.416734882994,5.00,50_1_2
619,49700.033355844316,5.00,50_1_2
620,58528.924641529404,5.00,50_1_3
621,59980.846356896334,5.00,50_1_3
622,58173.611438460764,5.00,50_1_3
623,58526.012186143154,5.00,50_1_3
624,58528.924641529404,5.00,50_1_3
625,58528.924641529404,5.00,50_1_3
626,58526.012186143154,5.00,50_1_3
627,58881.325389211794,5.00,50_1_3
628,63268.44176062066,5.00,50_1_3
629,58186.42457846354,5.00,50_1_3
630,65807.61082683099,5.00,50_1_4
631,65965.90960110065,5.00,50_1_4
632,66095.78215996479,5.00,50_1_4
633,66548.69415123123,5.00,50_1_4
634,64413.00413140733,5.00,50_1_4
635,64615.11806168458,5.00,50_1_4
636,65641.72698895104,5.00,50_1_4
637,65309.00560011517,5.00,50_1_4
638,66310.08995958455,5.00,50_1_4
639,64861.551428449355,5.00,50_1_4
640,45760.51016400376,5.00,50_2_1
641,48867.93830833639,5.00,50_2_1
642,45844.06104526154,5.00,50_2_1
643,46434.650599186556,5.00,50_2_1
644,45651.30426125773,5.00,50_2_1
645,46588.11596046851,5.00,50_2_1
646,45801.09040947624,5.00,50_2_1
647,45879.854437899034,5.00,50_2_1
648,45737.439096398135,5.00,50_2_1
649,45714.70291880402,5.00,50_2_1
650,49925.395033151966,5.00,50_2_2
651,49279.56862728828,5.00,50_2_2
652,47678.21273394891,5.00,50_2_2
653,47874.51737041521,5.00,50_2_2
654,48958.41533602654,5.00,50_2_2
655,47778.31112997508,5.00,50_2_2
656,48811.57883325026,5.00,50_2_2
657,48977.78328274734,5.00,50_2_2
658,49384.29868428337,5.00,50_2_2
659,47646.14283657158,5.00,50_2_2
660,54765.546386148155,5.00,50_2_3
661,54678.73610806599,5.00,50_2_3
662,54678.73610806599,5.00,50_2_3
663,54665.63604429443,5.00,50_2_3
664,54678.73610806599,5.00,50_2_3
665,54678.73610806599,5.00,50_2_3
666,54678.73610806599,5.00,50_2_3
667,54765.546386148155,5.00,50_2_3
668,55438.155434546934,5.00,50_2_3
669,54481.181572381785,5.00,50_2_3
670,65878.40551490783,5.00,50_2_4
671,63070.03684620319,5.00,50_2_4
672,66888.031755056,5.00,50_2_4
673,63251.20699872441,5.00,50_2_4
674,65721.67078223014,5.00,50_2_4
675,64742.12220060063,5.00,50_2_4
676,63372.96607825025,5.00,50_2_4
677,64478.18763235843,5.00,50_2_4
678,64783.17562202786,5.00,50_2_4
679,64956.40241973249,5.00,50_2_4
680,76004.35357629132,5.00,80_1
681,71989.63136416364,5.00,80_1
682,70140.8305253117,5.00,80_1
683,71345.91695940206,5.00,80_1
684,76865.54942935734,5.00,80_1
685,83055.98556095807,5.00,80_1
686,70253.95712224887,5.00,80_1
687,76178.06070186128,5.00,80_1
688,76942.00079437673,5.00,80_1
689,76995.20999431667,5.00,80_1
690,81381.38835574132,5.00,80_2
691,82214.50610077861,5.00,80_2
692,82185.55101576148,5.00,80_2
693,80230.24364356513,5.00,80_2
694,80958.69148817984,5.00,80_2
695,80492.48170617639,5.00,80_2
696,78322.30943666922,5.00,80_2
697,82130.54372231425,5.00,80_2
698,81597.06570792099,5.00,80_2
699,82388.20112170845,5.00,80_2
700,79550.35875862982,5.00,80_3
701,79857.2040771484,5.00,80_3
702,78220.12082774281,5.00,80_3
703,79167.34705614553,5.00,80_3
704,79523.8947027289,5.00,80_3
705,75627.74397682327,5.00,80_3
706,81699.21145792407,5.00,80_3
707,81678.2790312991,5.00,80_3
708,74989.86448382767,5.00,80_3
709,78841.28221614077,5.00,80_3
710,88897.78893721459,5.00,80_4
711,88497.06641956742,5.00,80_4
712,87531.00910266557,5.00,80_4
713,87191.77807532516,5.00,80_4
714,89115.00293044184,5.00,80_4
715,88921.36777332379,5.00,80_4
716,88664.6388781348,5.00,80_4
717,86694.60148044914,5.00,80_4
718,87190.6360758325,5.00,80_4
719,87822.51772510051,5.00,80_4
720,106796.13696501678,5.00,100_1
721,105398.95228531443,5.00,100_1
722,106264.5439566061,5.00,100_1
723,106113.21959363062,5.00,100_1
724,107081.03971295485,5.00,100_1
725,105756.41892112726,5.00,100_1
726,107241.73024943653,5.00,100_1
727,107397.41888945558,5.00,100_1
728,110945.3372917761,5.00,100_1
729,108476.82665239897,5.00,100_1
730,88279.68574724578,5.00,100_2
731,85023.92579321424,5.00,100_2
