,best,step,problem
0,46422.32138568009,20,50_1_1
1,49985.1513384605,20,50_1_1
2,46881.07592775395,20,50_1_1
3,46960.43203102966,20,50_1_1
4,46355.362835171516,20,50_1_1
5,47199.27073471717,20,50_1_1
6,46700.311154252646,20,50_1_1
7,46355.4457461701,20,50_1_1
8,47844.02090373779,20,50_1_1
9,47019.938918406726,20,50_1_1
10,47655.54823300471,20,50_1_1
11,48640.875213744774,20,50_1_1
12,49039.02535556221,20,50_1_1
13,46058.652586581906,20,50_1_1
14,47135.919052413825,20,50_1_1
15,47382.0226334346,20,50_1_1
16,46058.652586581906,20,50_1_1
17,46991.71823193935,20,50_1_1
18,47008.93837328505,20,50_1_1
19,47078.4344874828,20,50_1_1
20,49370.52855066538,20,50_1_2
21,51406.49647691297,20,50_1_2
22,49890.12425031761,20,50_1_2
23,49766.10594306074,20,50_1_2
24,51165.23650609376,20,50_1_2
25,51297.314678902185,20,50_1_2
26,49338.95712503661,20,50_1_2
27,51954.94709819497,20,50_1_2
28,50410.684001552596,20,50_1_2
29,50166.223877829754,20,50_1_2
30,49839.07167656279,20,50_1_2
31,49988.41213452292,20,50_1_2
32,49876.30302776195,20,50_1_2
33,49114.65008331442,20,50_1_2
34,49304.789696048756,20,50_1_2
35,50036.175683608235,20,50_1_2
36,50480.86957110974,20,50_1_2
37,50909.51561849631,20,50_1_2
38,49887.3882982481,20,50_1_2
39,49502.63888869382,20,50_1_2
40,58912.34000259041,20,50_1_3
41,61027.79860796832,20,50_1_3
42,59597.97060556449,20,50_1_3
43,60693.65032787749,20,50_1_3
44,60194.38593403212,20,50_1_3
45,61968.72178431391,20,50_1_3
46,60600.447054835866,20,50_1_3
47,59763.51026271304,20,50_1_3
48,60212.104634622556,20,50_1_3
49,59469.999350977305,20,50_1_3
50,61727.6928728109,20,50_1_3
51,61253.15699286558,20,50_1_3
52,58528.924641529404,20,50_1_3
53,58550.38234547674,20,50_1_3
54,60214.92001173194,20,50_1_3
55,58173.611438460764,20,50_1_3
56,62298.36577091781,20,50_1_3
57,59597.97060556449,20,50_1_3
58,60070.93089237574,20,50_1_3
59,59569.94683851533,20,50_1_3
60,67001.14852621222,20,50_1_4
61,67440.3116902152,20,50_1_4
62,69422.62455245672,20,50_1_4
63,65165.83279287178,20,50_1_4
64,65866.43106052619,20,50_1_4
65,66906.6378919668,20,50_1_4
66,66605.70930866,20,50_1_4
67,65184.40630533114,20,50_1_4
68,69213.12808812971,20,50_1_4
69,67081.6458218127,20,50_1_4
70,66268.97218925007,20,50_1_4
71,64300.04636166939,20,50_1_4
72,65294.084316716355,20,50_1_4
73,65903.65271021862,20,50_1_4
74,65852.90674164273,20,50_1_4
75,65315.5312596867,20,50_1_4
76,65250.21778759951,20,50_1_4
77,67878.27989285851,20,50_1_4
78,64756.07781008165,20,50_1_4
79,66464.90790334626,20,50_1_4
80,47961.588126654664,20,50_2_1
81,46967.71274554601,20,50_2_1
82,46383.040838523506,20,50_2_1
83,47140.162315194626,20,50_2_1
84,47259.32010414137,20,50_2_1
85,46417.92465447904,20,50_2_1
86,47202.5909449559,20,50_2_1
87,46032.92066355012,20,50_2_1
88,45483.321332648055,20,50_2_1
89,46155.028121892916,20,50_2_1
90,47209.13407174783,20,50_2_1
91,46467.68243638644,20,50_2_1
92,48472.62003125017,20,50_2_1
93,45426.51830481073,20,50_2_1
94,46597.63046781879,20,50_2_1
95,46674.9967327324,20,50_2_1
96,47845.186994589676,20,50_2_1
97,46455.862820768656,20,50_2_1
98,48628.155521648936,20,50_2_1
99,46427.864305587485,20,50_2_1
100,49890.7346074542,20,50_2_2
101,50492.69509405742,20,50_2_2
102,47646.14283657158,20,50_2_2
103,49387.35184344392,20,50_2_2
104,48774.477547541326,20,50_2_2
105,49543.472484757855,20,50_2_2
106,47549.93659613144,20,50_2_2
107,47320.03042503672,20,50_2_2
108,48958.41533602654,20,50_2_2
109,48740.30382143688,20,50_2_2
110,48652.10364532303,20,50_2_2
111,49175.722442864884,20,50_2_2
112,49606.341021888926,20,50_2_2
113,47778.31112997508,20,50_2_2
114,49859.64720941163,20,50_2_2
115,47549.93659613144,20,50_2_2
116,47416.23666547685,20,50_2_2
117,48555.857720803826,20,50_2_2
118,49740.307945904155,20,50_2_2
119,50639.4530551574,20,50_2_2
120,59607.698526194916,20,50_2_3
121,56673.71795110876,20,50_2_3
122,56740.925472739735,20,50_2_3
123,54765.546386148155,20,50_2_3
124,54481.181572381785,20,50_2_3
125,57005.96815183312,20,50_2_3
126,54673.89895120451,20,50_2_3
127,54708.43299896906,20,50_2_3
128,55339.30203342144,20,50_2_3
129,55024.50798951213,20,50_2_3
130,55349.0696924849,20,50_2_3
131,54673.89895120451,20,50_2_3
132,55000.14830331542,20,50_2_3
133,54744.298683799796,20,50_2_3
134,55839.28015160914,20,50_2_3
135,57351.00337635492,20,50_2_3
136,55536.85656910564,20,50_2_3
137,55475.00875215894,20,50_2_3
138,54744.298683799796,20,50_2_3
139,54481.181572381785,20,50_2_3
140,66308.14910234997,20,50_2_4
141,65075.5506752362,20,50_2_4
142,63615.68059685521,20,50_2_4
143,65415.62522939038,20,50_2_4
144,68159.0251610665,20,50_2_4
145,65599.13965513144,20,50_2_4
146,63322.59340905119,20,50_2_4
147,67485.47041289532,20,50_2_4
148,65677.20336045833,20,50_2_4
149,67158.5802999903,20,50_2_4
150,66321.90676420537,20,50_2_4
151,66365.13479438513,20,50_2_4
152,66571.54958767282,20,50_2_4
153,66251.28081172345,20,50_2_4
154,66419.47663698363,20,50_2_4
